"slug","english_title","chinese_name","review_state","pack_count","packs","modrinth_url"
"spark","spark","","unreviewed","4","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/spark"
"structure-layout-optimizer","Structure Layout Optimizer","","unreviewed","4","create_plus;distant-horizons-iris-shaders;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/structure-layout-optimizer"
"supermartijn642s-core-lib","SuperMartijn642's Core Lib","","unreviewed","4","cobbleverse;create_plus;slimes-adventure;pokemon-elysium","https://modrinth.com/mod/supermartijn642s-core-lib"
"toms-storage","Tom's Simple Storage Mod","汤姆的简易存储 (Tom's Simple Storage Mod)","extended","4","cobbleverse;slimes-adventure;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/toms-storage"
"trinkets","Trinkets","","unreviewed","4","cobbleverse;prominence-2-fabric;slimes-adventure;pokemon-elysium","https://modrinth.com/mod/trinkets"
"twigs","Twigs","","unreviewed","4","prominence-2-fabric;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/twigs"
"villager-names-serilum","Villager Names","","unreviewed","4","prominence-2-fabric;better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/villager-names-serilum"
"waystones","Waystones","传送石碑 (Waystones)","extended","4","cobbleverse;slimes-adventure;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/waystones"
"yeetus-experimentus","Yeetus Experimentus","","unreviewed","4","prominence-2-fabric;create_plus;zombie-invade-100-days;create-stratus-terra-forge","https://modrinth.com/mod/yeetus-experimentus"
"yungs-better-desert-temples","YUNG's Better Desert Temples","","unreviewed","4","prominence-2-fabric;create_plus;slimes-adventure;nonagon","https://modrinth.com/mod/yungs-better-desert-temples"
"yungs-bridges","YUNG's Bridges","","unreviewed","4","prominence-2-fabric;create_plus;slimes-adventure;nonagon","https://modrinth.com/mod/yungs-bridges"
"advanced-netherite","Advanced Netherite","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/advanced-netherite"
"almanac","Almanac","","unreviewed","3","cobblemon-fabric;better-mc-fabric-bmc2;zombie-invade-100-days","https://modrinth.com/mod/almanac"
"another-furniture","Another Furniture","","unreviewed","3","create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/another-furniture"
"ash-api","Ash API","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/ash-api"
"bad-wither-no-cookie","Bad Wither No Cookie - Reloaded","","unreviewed","3","cobblemon-fabric;prominence-2-fabric;pokemon-elysium","https://modrinth.com/mod/bad-wither-no-cookie"
"bclib","BCLib","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/bclib"
"better-beds","Better Beds","","unreviewed","3","cobbleverse;prominence-2-fabric;pokemon-elysium","https://modrinth.com/mod/better-beds"
"better-compatibility-checker","Better Compatibility Checker","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/better-compatibility-checker"
"better-mount-hud","Better Mount HUD","","unreviewed","3","fabulously-optimized;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/better-mount-hud"
"better-stats","Better Statistics Screen","","unreviewed","3","create_plus;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/better-stats"
"better-third-person","Better Third Person","","unreviewed","3","cobblemon-fabric;cobbleverse;nonagon","https://modrinth.com/mod/better-third-person"
"betterend","BetterEnd","更好的末地 (BetterEnd)","extended","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/betterend"
"betterend-crashed-ships-tweaks","BetterEnd Crashed Ships Tweaks","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/betterend-crashed-ships-tweaks"
"betterf3","BetterF3","更好的 F3 (BetterF3)","curated","3","cobbleverse;create_plus;pokemon-elysium","https://modrinth.com/mod/betterf3"
"betternether","BetterNether","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/betternether"
"biomes-o-plenty","Biomes O' Plenty","群系多样 (Biomes O' Plenty)","extended","3","zombie-invade-100-days;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/biomes-o-plenty"
"boat-item-view","Boat Item View","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/boat-item-view"
"clientsort","Client Sort","","unreviewed","3","better-mc-fabric-bmc2;barces-vanilla-experience;better-mc-forge-bmc4","https://modrinth.com/mod/clientsort"
"cobblemon","Cobblemon","Cobblemon (宝可梦)","extended","3","cobblemon-fabric;cobbleverse;pokemon-elysium","https://modrinth.com/mod/cobblemon"
"colorwheel","Colorwheel","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/colorwheel"
"configured-defaults","Configured Defaults","","unreviewed","3","create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/configured-defaults"
"create-steam-n-rails","Create: Steam 'n' Rails","机械动力：汽鸣铁道 (Create: Steam 'n' Rails)","extended","3","prominence-2-fabric;create_plus;create-stratus-terra-forge","https://modrinth.com/mod/create-steam-n-rails"
"createaddition","Create Crafts & Additions","机械动力：创想附加 (Create Crafts & Additions)","extended","3","prominence-2-fabric;create_plus;create-stratus-terra-forge","https://modrinth.com/mod/createaddition"
"cristel-lib","Cristel Lib","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/cristel-lib"
"cubes-without-borders","Cubes Without Borders","无边界立方体 (Cubes Without Borders)","extended","3","fabulously-optimized;create_plus;better-mc-fabric-bmc2","https://modrinth.com/mod/cubes-without-borders"
"decorative-blocks-fork","Decorative Blocks","","unreviewed","3","prominence-2-fabric;create-stratus-terra-forge;pokemon-elysium","https://modrinth.com/mod/decorative-blocks-fork"
"deeperdarker","Deeper and Darker","幽邃黑暗 (Deeper And Darker)","extended","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/deeperdarker"
"default-options","Default Options","","unreviewed","3","cobbleverse;zombie-invade-100-days;create-stratus-terra-forge","https://modrinth.com/mod/default-options"
"despawn-tweaks","Despawn Tweaks","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/despawn-tweaks"
"diagonal-fences","Diagonal Fences","","unreviewed","3","better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/diagonal-fences"
"distraction-free-recipes","Distraction Free Recipes (EMI / REI / JEI)","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/distraction-free-recipes"
"do-a-barrel-roll","Do a Barrel Roll","","unreviewed","3","prominence-2-fabric;create_plus;pokemon-elysium","https://modrinth.com/mod/do-a-barrel-roll"
"elytra-slot","Elytra Slot","","unreviewed","3","create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/elytra-slot"
"embeddium","Embeddium","钕 (Embeddium)","curated","3","create_plus;zombie-invade-100-days;create-stratus-terra-forge","https://modrinth.com/mod/embeddium"
"emi-loot","EMI Loot","","unreviewed","3","prominence-2-fabric;create_plus;pokemon-elysium","https://modrinth.com/mod/emi-loot"
"emiffect","EMIffect","","unreviewed","3","prominence-2-fabric;zombie-invade-100-days;pokemon-elysium","https://modrinth.com/mod/emiffect"
"ends-delight","End's Delight","","unreviewed","3","prominence-2-fabric;create_plus;create-stratus-terra-forge","https://modrinth.com/mod/ends-delight"
"every-compat","Every Compat (Wood Good)","泛用兼容：木材 (Every Compat)","extended","3","create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/every-compat"
"explorations","Explorations","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/explorations"
"fallingleaves","Falling Leaves","落叶 (Falling Leaves)","extended","3","cobblemon-fabric;prominence-2-fabric;better-mc-fabric-bmc2","https://modrinth.com/mod/fallingleaves"
"farmers-delight","Farmer's Delight","农夫乐事 (Farmer's Delight)","curated","3","create_plus;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/farmers-delight"
"farmers-delight-refabricated","Farmer's Delight Refabricated","","unreviewed","3","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2","https://modrinth.com/mod/farmers-delight-refabricated"
"fast-ip-ping","Fast IP Ping","","unreviewed","3","better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/fast-ip-ping"
"fast-item-frames","Fast Item Frames","","unreviewed","3","slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/fast-item-frames"
"forgified-fabric-api","Forgified Fabric API","Forgified Fabric API","extended","3","zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/forgified-fabric-api"
"geophilic","Geophilic","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/geophilic"
"glitchcore","GlitchCore","","unreviewed","3","zombie-invade-100-days;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/glitchcore"
"hearths","Hearths","","unreviewed","3","better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/hearths"
"highlight","Highlight","","unreviewed","3","cobbleverse;prominence-2-fabric;pokemon-elysium","https://modrinth.com/mod/highlight"
"immersive-lanterns","Toni's Immersive Lanterns","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/immersive-lanterns"
"immersive-messages-api","Immersive Messages API","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/immersive-messages-api"
"indium","Indium","铟 (Indium)","extended","3","prominence-2-fabric;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/indium"
"jade-addons-fabric","Jade Addons (Fabric)","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/jade-addons-fabric"
"jade-addons-forge","Jade Addons (Neo/Forge)","","unreviewed","3","create_plus;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/jade-addons-forge"
"just-enough-resources-jer","Just Enough Resources (JER)","","unreviewed","3","create-stratus-terra-forge;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/just-enough-resources-jer"
"kleeslabs","KleeSlabs","","unreviewed","3","prominence-2-fabric;create_plus;better-mc-forge-bmc4","https://modrinth.com/mod/kleeslabs"
"leaves-be-gone","Leaves Be Gone","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/leaves-be-gone"
"lmft","Load My F***ing Tags","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/lmft"
"log-begone","Log Begone","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/log-begone"
"make_bubbles_pop","Make Bubbles Pop","","unreviewed","3","cobblemon-fabric;create-stratus-terra-forge;pokemon-elysium","https://modrinth.com/mod/make_bubbles_pop"
"memoryleakfix","Memory Leak Fix","内存泄漏修复 (Memory Leak Fix)","extended","3","create_plus;create-stratus-terra-forge;pokemon-elysium","https://modrinth.com/mod/memoryleakfix"
"mindful-darkness","Mindful Darkness","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/mindful-darkness"
"mixintrace","MixinTrace","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/mixintrace"
"mns-moogs-nether-structures","MNS - Moog's Nether Structures","","unreviewed","3","slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/mns-moogs-nether-structures"
"modpack-update-checker","Modpack Update Checker","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/modpack-update-checker"
"moreculling","More Culling","更多剔除 (More Culling)","extended","3","fabulously-optimized;cobbleverse;pokemon-elysium","https://modrinth.com/mod/moreculling"
"necronomicon","Necronomicon API","","unreviewed","3","prominence-2-fabric;create_plus;zombie-invade-100-days","https://modrinth.com/mod/necronomicon"
"nrb","No Report Button","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/nrb"
"oceans-delight","Ocean's Delight","","unreviewed","3","better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/oceans-delight"
"particle-core","Particle Core","","unreviewed","3","cobbleverse;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/particle-core"
"placeholder-api","Text Placeholder API","文本占位符 API (Text Placeholder API)","extended","3","fabulously-optimized;cobblemon-fabric;slimes-adventure","https://modrinth.com/mod/placeholder-api"
"platform","Platform","","unreviewed","3","cobbleverse;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/platform"
"presence-footsteps","Presence Footsteps","脚步声 (Presence Footsteps)","extended","3","cobblemon-fabric;prominence-2-fabric;pokemon-elysium","https://modrinth.com/mod/presence-footsteps"
"redirected","Redirected","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/redirected"
"simple-snowy-fix-(forge-fabric)","Simple Snowy Fix (Forge / Fabric)","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/simple-snowy-fix-(forge-fabric)"
"smarter-farmers-farmers-replant","Smarter Farmers (farmers replant)","","unreviewed","3","create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/smarter-farmers-farmers-replant"
"snow-real-magic","Snow! Real Magic! ⛄","","unreviewed","3","create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/snow-real-magic"
"sodium-dynamic-lights","Sodium Dynamic Lights","","unreviewed","3","better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/sodium-dynamic-lights"
"sodium-options-api","Sodium Options API","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/sodium-options-api"
"srdp","Simple Rich Discord Presence","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/srdp"
"stoneworks","Stoneworks","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/stoneworks"
"towns-and-towers","Towns and Towers","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/towns-and-towers"
"trading-post","Trading Post","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/trading-post"
"transparent","Transparent","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/transparent"
"travelersbackpack","Traveler's Backpack","旅行者背包 (Traveler's Backpack)","extended","3","prominence-2-fabric;create-stratus-terra-forge;pokemon-elysium","https://modrinth.com/mod/travelersbackpack"
"txnilib","TxniLib","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/txnilib"
"vanillabackport","Vanilla Backport","","unreviewed","3","cobbleverse;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/vanillabackport"
"vein-mining","Vein Mining","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/vein-mining"
"villagersplus","VillagersPlus","","unreviewed","3","prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/villagersplus"
"visual-workbench","Visual Workbench","","unreviewed","3","better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/visual-workbench"
"visuality","Visuality","视觉特效 (Visuality)","extended","3","cobblemon-fabric;prominence-2-fabric;pokemon-elysium","https://modrinth.com/mod/visuality"
"voidtotem","Void Totem","","unreviewed","3","create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/voidtotem"
"xaeroplus","XaeroPlus","","unreviewed","3","better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/xaeroplus"
"yosbr","Your Options Shall Be Respected (YOSBR)","","unreviewed","3","cobblemon-fabric;prominence-2-fabric;pokemon-elysium","https://modrinth.com/mod/yosbr"
"yungs-extras","YUNG's Extras","","unreviewed","3","create_plus;slimes-adventure;nonagon","https://modrinth.com/mod/yungs-extras"
"yungs-menu-tweaks","YUNG's Menu Tweaks","","unreviewed","3","better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/yungs-menu-tweaks"
"zeta","Zeta","","unreviewed","3","zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/zeta"
"abridged","Abridged","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/abridged"
"accessories-compat-layer","Accessories Compatibility Layer","","unreviewed","2","cobbleverse;slimes-adventure","https://modrinth.com/mod/accessories-compat-layer"
"accessories-tc-layer","[Deprecated] Trinkets Compat Layer for Accessories","","unreviewed","2","prominence-2-fabric;better-mc-fabric-bmc2","https://modrinth.com/mod/accessories-tc-layer"
"adorabuild-structures","AdoraBuild: Structures","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/adorabuild-structures"
"advanced-loot-info","Advanced Loot Info (ALI)","","unreviewed","2","cobblemon-fabric;better-mc-fabric-bmc2","https://modrinth.com/mod/advanced-loot-info"
"advancement-plaques","Advancement Plaques","","unreviewed","2","cobbleverse;create-stratus-terra-forge","https://modrinth.com/mod/advancement-plaques"
"adventurez","AdventureZ","","unreviewed","2","prominence-2-fabric;better-mc-fabric-bmc2","https://modrinth.com/mod/adventurez"
"aether","The Aether","天境 (The Aether)","curated","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/aether"
"alexs-mobs","Alex's Mobs","","unreviewed","2","create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/alexs-mobs"
"ambient-environment","Ambient Environment","","unreviewed","2","cobblemon-fabric;create-stratus-terra-forge","https://modrinth.com/mod/ambient-environment"
"amecs","Amecs","","unreviewed","2","prominence-2-fabric;pokemon-elysium","https://modrinth.com/mod/amecs"
"animal_feeding_trough","Animal Feeding Trough","","unreviewed","2","prominence-2-fabric;better-mc-fabric-bmc2","https://modrinth.com/mod/animal_feeding_trough"
"armor-statues","Armor Statues","","unreviewed","2","create_plus;slimes-adventure","https://modrinth.com/mod/armor-statues"
"artifacts","Artifacts","","unreviewed","2","prominence-2-fabric;slimes-adventure","https://modrinth.com/mod/artifacts"
"attributefix","AttributeFix","","unreviewed","2","prominence-2-fabric;zombie-invade-100-days","https://modrinth.com/mod/attributefix"
"audio-improvements","Audio Improvements","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/audio-improvements"
"aures-farmers-structures","Aures - Farmers Structures","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/aures-farmers-structures"
"autochefs-delight","Autochef's Delight","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/autochefs-delight"
"azurelib","AzureLib","","unreviewed","2","prominence-2-fabric;better-mc-forge-bmc4","https://modrinth.com/mod/azurelib"
"badpackets","bad packets","","unreviewed","2","prominence-2-fabric;create_plus","https://modrinth.com/mod/badpackets"
"bellsandwhistles","Create: Bells & Whistles","","unreviewed","2","create_plus;create-stratus-terra-forge","https://modrinth.com/mod/bellsandwhistles"
"better-archeology","Better Archeology","","unreviewed","2","prominence-2-fabric;create-stratus-terra-forge","https://modrinth.com/mod/better-archeology"
"better-block-entities","Better Block Entities","","unreviewed","2","fabulously-optimized;barces-vanilla-experience","https://modrinth.com/mod/better-block-entities"
"better-mods-button","Better Mods Button","","unreviewed","2","zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/better-mods-button"
"better-ping-display-fabric","Better Ping Display [Fabric]","","unreviewed","2","cobblemon-fabric;pokemon-elysium","https://modrinth.com/mod/better-ping-display-fabric"
"better-tridents","Better Tridents","","unreviewed","2","create_plus;better-mc-fabric-bmc2","https://modrinth.com/mod/better-tridents"
"better-trim-tooltips","Better Trim Tooltips","","unreviewed","2","prominence-2-fabric;better-mc-fabric-bmc2","https://modrinth.com/mod/better-trim-tooltips"
"bettergrassify","BetterGrassify","","unreviewed","2","fabulously-optimized;better-mc-fabric-bmc2","https://modrinth.com/mod/bettergrassify"
"biome-dither","Pufferfish's Biome Dither","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/biome-dither"
"blended-compat","Blended Compat","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/blended-compat"
"blossom-blade","Blossom Blade","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/blossom-blade"
"blueprint","Blueprint","","unreviewed","2","create_plus;better-mc-forge-bmc4","https://modrinth.com/mod/blueprint"
"boat-break-fix","Boat Break Fix","","unreviewed","2","prominence-2-fabric;create_plus","https://modrinth.com/mod/boat-break-fix"
"boatload","Boatload","","unreviewed","2","create_plus;better-mc-forge-bmc4","https://modrinth.com/mod/boatload"
"bosses-of-mass-destruction","Bosses of Mass Destruction","","unreviewed","2","prominence-2-fabric;better-mc-fabric-bmc2","https://modrinth.com/mod/bosses-of-mass-destruction"
"botarium","Botarium","","unreviewed","2","prominence-2-fabric;create-stratus-terra-forge","https://modrinth.com/mod/botarium"
"bountiful","Bountiful","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/bountiful"
"builtin-servers","Builtin Servers","","unreviewed","2","create-stratus-terra-forge;pokemon-elysium","https://modrinth.com/mod/builtin-servers"
"bygone-nether","Bygone Nether","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/bygone-nether"
"c2me-fabric","Concurrent Chunk Management Engine (Fabric)","并发区块管理引擎 (C2ME)","extended","2","cobbleverse;distant-horizons-iris-shaders","https://modrinth.com/mod/c2me-fabric"
"caelus","Caelus API","","unreviewed","2","create_plus;better-mc-forge-bmc4","https://modrinth.com/mod/caelus"
"canary","Canary","","unreviewed","2","create_plus;create-stratus-terra-forge","https://modrinth.com/mod/canary"
"capes","Capes","","unreviewed","2","create_plus;pokemon-elysium","https://modrinth.com/mod/capes"
"cardinal-components-api","Cardinal Components API","","unreviewed","2","prominence-2-fabric;better-mc-fabric-bmc2","https://modrinth.com/mod/cardinal-components-api"
"certain-questing-additions","Certain Questing Additions","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/certain-questing-additions"
"cerulean-advancements","Cerulean","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/cerulean-advancements"
"charm-of-undying","Charm of Undying","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/charm-of-undying"
"chatanimation","Chat Animation [Smooth Chat]","","unreviewed","2","prominence-2-fabric;zombie-invade-100-days","https://modrinth.com/mod/chatanimation"
"chloride","(Sodium) Chloride","","unreviewed","2","zombie-invade-100-days;create-stratus-terra-forge","https://modrinth.com/mod/chloride"
"chunk-activity-tracker","Chunk Activity Tracker","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/chunk-activity-tracker"
"citadel","Citadel","","unreviewed","2","create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/citadel"
"client-tweaks","Client Tweaks","","unreviewed","2","zombie-invade-100-days;pokemon-elysium","https://modrinth.com/mod/client-tweaks"
"climate-rivers","Climate Rivers","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/climate-rivers"
"connector","Sinytra Connector","","unreviewed","2","zombie-invade-100-days;create-stratus-terra-forge","https://modrinth.com/mod/connector"
"connector-extras","Connector Extras","","unreviewed","2","zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/connector-extras"
"copycats","Create: Copycats+","","unreviewed","2","prominence-2-fabric;create-stratus-terra-forge","https://modrinth.com/mod/copycats"
"crafting-tweaks","Crafting Tweaks","","unreviewed","2","cobblemon-fabric;pokemon-elysium","https://modrinth.com/mod/crafting-tweaks"
"craftpresence","CraftPresence","","unreviewed","2","cobblemon-fabric;create_plus","https://modrinth.com/mod/craftpresence"
"crashexploitfixer","CrashExploitFixer","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/crashexploitfixer"
"create","Create","机械动力 (Create)","curated","2","create_plus;create-stratus-terra-forge","https://modrinth.com/mod/create"
"create-big-cannons","Create Big Cannons","","unreviewed","2","create_plus;create-stratus-terra-forge","https://modrinth.com/mod/create-big-cannons"
"create-central-kitchen","Create: Central Kitchen","","unreviewed","2","create_plus;create-stratus-terra-forge","https://modrinth.com/mod/create-central-kitchen"
"create-connected","Create: Connected","","unreviewed","2","create_plus;create-stratus-terra-forge","https://modrinth.com/mod/create-connected"
"create-enchantment-industry","Create: Enchantment Industry","","unreviewed","2","create_plus;create-stratus-terra-forge","https://modrinth.com/mod/create-enchantment-industry"
"create-framed","Create: Framed","","unreviewed","2","create_plus;create-stratus-terra-forge","https://modrinth.com/mod/create-framed"
"creativecore","CreativeCore","CreativeCore (前置库)","extended","2","prominence-2-fabric;zombie-invade-100-days","https://modrinth.com/mod/creativecore"
"creeper-overhaul","Creeper Overhaul","","unreviewed","2","prominence-2-fabric;create-stratus-terra-forge","https://modrinth.com/mod/creeper-overhaul"
"ct-overhaul-village","ChoiceTheorem's Overhauled Village","","unreviewed","2","prominence-2-fabric;nonagon","https://modrinth.com/mod/ct-overhaul-village"
"cull-leaves","Cull Leaves","","unreviewed","2","create_plus;create-stratus-terra-forge","https://modrinth.com/mod/cull-leaves"
"cull-less-leaves","Cull Less Leaves","","unreviewed","2","better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/cull-less-leaves"
"dawn","Dawn API","","unreviewed","2","prominence-2-fabric;better-mc-fabric-bmc2","https://modrinth.com/mod/dawn"
"decorative-blocks","Decorative Blocks","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/decorative-blocks"
"delete-worlds-to-trash","Delete Worlds To Trash","","unreviewed","2","better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/delete-worlds-to-trash"
"delightful","Delightful","","unreviewed","2","create_plus;better-mc-forge-bmc4","https://modrinth.com/mod/delightful"
